__UUID4__;db0c0e01-a78f-4b9a-a535-142c254cdd0c
__CREATED-ON__;2021-02-19 18:25:46.931292
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
STATE;2021-02-19 18:26:07.616107;nan;nan;open_loop_fail_punish;nan
STATE;2021-02-19 18:26:07.616107;nan;nan;stop_open_loop_reward_left;nan
STATE;2021-02-19 18:26:07.616107;nan;nan;check_reward_left;nan
STATE;2021-02-19 18:26:07.616107;nan;nan;small_reward_left;nan
STATE;2021-02-19 18:26:07.616107;nan;nan;reward_left_waiting;nan
TRIAL;2021-02-19 18:26:07.829120;;;New trial;
SOFTCODE;2021-02-19 18:26:07.835122;;;5;
EVENT;2021-02-19 18:26:09.834472;2.0;;158;Tup
TRANSITION;2021-02-19 18:26:09.834472;2.0;;sync_state_1;
EVENT;2021-02-19 18:26:09.834472;2.0001;;158;Tup
TRANSITION;2021-02-19 18:26:09.834472;2.0001;;reset_rotary_encoder_wheel_stopping_check;
EVENT;2021-02-19 18:26:09.834472;2.0002;;158;Tup
TRANSITION;2021-02-19 18:26:09.834472;2.0002;;wheel_stopping_check;
EVENT;2021-02-19 18:26:10.834545;3.0002;;158;Tup
TRANSITION;2021-02-19 18:26:10.834545;3.0002;;present_stim;
SOFTCODE;2021-02-19 18:26:10.834545;;;1;
EVENT;2021-02-19 18:26:10.835545;3.0003;;158;Tup
TRANSITION;2021-02-19 18:26:10.835545;3.0003;;sync_state_2;
EVENT;2021-02-19 18:26:10.835545;3.0004;;158;Tup
TRANSITION;2021-02-19 18:26:10.835545;3.0004;;reset_rotary_encoder_open_loop;
EVENT;2021-02-19 18:26:10.835545;3.0005;;158;Tup
TRANSITION;2021-02-19 18:26:10.835545;3.0005;;open_loop;
SOFTCODE;2021-02-19 18:26:10.835545;;;2;
EVENT;2021-02-19 18:26:11.321580;3.4659;;2;RotaryEncoder1_3
EVENT;2021-02-19 18:26:12.144654;4.298900000000001;;0;RotaryEncoder1_1
TRANSITION;2021-02-19 18:26:12.144654;4.298900000000001;;stop_open_loop_reward_right;
SOFTCODE;2021-02-19 18:26:12.144654;;;3;
EVENT;2021-02-19 18:26:14.133802;6.298900000000001;;158;Tup
TRANSITION;2021-02-19 18:26:14.133802;6.298900000000001;;check_reward_right;
EVENT;2021-02-19 18:26:14.133802;6.299;;158;Tup
TRANSITION;2021-02-19 18:26:14.133802;6.299;;big_reward_right;
SOFTCODE;2021-02-19 18:26:14.134803;;;4;
EVENT;2021-02-19 18:26:14.633839;6.799;;158;Tup
TRANSITION;2021-02-19 18:26:14.633839;6.799;;reward_right_waiting;
EVENT;2021-02-19 18:26:15.133876;7.299;;158;Tup
